ep,ep_reward,time
1,-454.0258264918609,6.986424922943115
2,-564.6928776076583,4.450746297836304
3,-357.14608764700074,1.8750858306884766
4,-432.0921114712287,1.3814740180969238
5,-573.9381052142322,1.5464744567871094
6,-553.5604925732891,1.5348832607269287
7,-570.9862498289166,1.937814474105835
8,-432.57661878807846,1.9459078311920166
9,-406.1875958904501,1.5283966064453125
10,-468.6480755012126,1.6967649459838867
11,-580.8593096224629,1.688661813735962
12,-306.722724292036,2.177370071411133
13,-400.59278621897556,1.9351005554199219
14,-398.29921313677795,2.417222738265991
15,-532.8717817927976,2.746286392211914
16,-402.80413401381634,1.934410810470581
17,-566.3793925436123,2.3321096897125244
18,-381.966386869596,1.8584990501403809
19,-452.74981802908974,2.2525746822357178
20,-357.5391021783521,2.096513271331787
21,-423.94971225378356,2.012991428375244
22,-373.48398384050466,2.0906424522399902
23,-403.1435540640987,2.011486768722534
24,-437.0016382188846,2.181516408920288
25,-387.57024424806417,1.9322776794433594
26,-466.7163706971405,2.0924770832061768
27,-323.97679718162675,2.0975399017333984
28,-501.49557194633405,2.1068801879882812
29,-463.87939422539665,2.741379737854004
30,-426.63042441665976,2.1824862957000732
31,-326.0236734454044,1.849003553390503
32,-381.761104072659,3.052703857421875
33,-328.1974147263312,2.508206367492676
34,-448.0273654532286,1.767857313156128
35,-413.3657759732321,2.0119893550872803
36,-467.665158003328,1.7697696685791016
37,-403.422618277924,1.934734582901001
38,-438.9536786335119,1.6943235397338867
39,-444.5803484209871,1.932563066482544
40,-335.6366125665281,1.777066707611084
41,-437.765521816567,1.9384925365447998
42,-496.7519022194404,2.0892412662506104
43,-574.5118564553358,1.8554787635803223
44,-540.8767919321127,2.0137481689453125
45,-464.76126029470674,1.932633876800537
46,-463.1307808066192,1.944580316543579
47,-295.38715972313514,1.9271409511566162
48,-349.5615498436476,2.106886386871338
49,-381.0565036527816,2.0119924545288086
50,-300.14062233105443,1.6231839656829834
51,-474.6886097465966,1.927478551864624
52,-507.25193071457244,2.093740224838257
53,-518.6272166675681,2.33254337310791
54,-319.87497246829014,2.0111148357391357
55,-562.0701790993389,3.2953615188598633
56,-368.2727875036038,1.7647027969360352
57,-367.03200546358875,2.012047290802002
58,-703.6039236690806,1.8517048358917236
59,-522.3604719933555,2.0120441913604736
60,-367.25873126328827,2.734337568283081
61,-474.7663057078521,1.9315202236175537
62,-251.78997495034292,1.8640291690826416
63,-524.9452675565043,2.4107470512390137
64,-340.6307906396449,1.7824227809906006
65,-710.300303729209,3.1362366676330566
66,-373.053061818224,1.7711803913116455
67,-433.39060612437123,2.270350694656372
68,-336.4837788537569,1.9379475116729736
69,-320.42519056984173,2.0094401836395264
70,-460.61718199017105,1.7771048545837402
71,-298.55720998203844,1.859468698501587
72,-492.6861472050193,1.9310705661773682
73,-342.00177972118615,1.7676773071289062
